0,271.6,3,[  2   5  56 284],[  5  56 284   2]
1,256.8,3,[  2   5  56 284],[  5  56 284   2]
2,261.2,3,[  2   5  56 284],[  5  56 284   2]
3,278.0,3,[  2   5  56 284],[  5  56 284   2]
4,268.0,3,[  2   5  56 284],[  5  56 284   2]
5,245.6,0,[  2 100 145],[100 145   2]
6,280.0,3,[  2   5  56 284],[  5  56 284   2]
7,264.4,3,[  2   5  56 284],[  5  56 284   2]
8,252.0,4,[ 2 44 63],[44 63  2]
9,268.8,3,[  2   5  56 284],[  5  56 284   2]
10,280.8,3,[  2   5  56 284],[  5  56 284   2]
11,292.8,3,[  2   5  56 284],[  5  56 284   2]
12,262.8,3,[  2   5  56 284],[  5  56 284   2]
13,252.4,3,[  2   5  56 284],[  5  56 284   2]
14,272.0,3,[  2   5  56 284],[  5  56 284   2]
15,248.0,4,[ 2 44 63],[44 63  2]
16,261.2,3,[  2   5  56 284],[  5  56 284   2]
17,274.0,3,[  2   5  56 284],[  5  56 284   2]
18,240.8,2,[ 2 43 73],[43 73  2]
19,278.0,3,[  2   5  56 284],[  5  56 284   2]
20,254.0,4,[ 2 44 63],[44 63  2]
21,272.4,3,[  2   5  56 284],[  5  56 284   2]
22,280.8,3,[  2   5  56 284],[  5  56 284   2]
23,273.2,3,[  2   5  56 284],[  5  56 284   2]
24,266.0,3,[  2   5  56 284],[  5  56 284   2]
25,260.8,3,[  2   5  56 284],[  5  56 284   2]
26,267.2,3,[  2   5  56 284],[  5  56 284   2]
27,279.2,3,[  2   5  56 284],[  5  56 284   2]
28,268.8,2,[ 2 41 72],[41 72  2]
29,262.8,3,[  2   5  56 284],[  5  56 284   2]
30,270.4,3,[  2   5  56 284],[  5  56 284   2]
31,252.0,2,[ 2 40 71],[40 71  2]
32,286.4,3,[  2   5  56 284],[  5  56 284   2]
33,266.4,3,[  2   5  56 284],[  5  56 284   2]
34,290.4,3,[  2   5  56 284],[  5  56 284   2]
35,260.4,3,[  2   5  56 284],[  5  56 284   2]
36,286.4,3,[  2   5  56 284],[  5  56 284   2]
37,276.0,3,[  2   5  56 284],[  5  56 284   2]
38,278.8,3,[  2   5  56 284],[  5  56 284   2]
39,259.2,3,[  2   5  56 284],[  5  56 284   2]
40,263.2,3,[  2   5  56 284],[  5  56 284   2]
41,244.4,4,[ 2 44 63],[44 63  2]
42,250.8,1,[ 2 35],[35  2]
43,280.0,3,[  2   5  56 284],[  5  56 284   2]
44,255.6,4,[ 2 44 63],[44 63  2]
45,250.8,3,[  2   5  56 284],[  5  56 284   2]
46,272.0,3,[  2   5  56 284],[  5  56 284   2]
47,284.0,3,[  2   5  56 284],[  5  56 284   2]
48,286.8,3,[  2   5  56 284],[  5  56 284   2]
49,270.8,3,[  2   5  56 284],[  5  56 284   2]
50,256.0,2,[ 2 42 72],[42 72  2]
51,267.6,3,[  2   5  56 284],[  5  56 284   2]
52,275.2,3,[  2   5  56 284],[  5  56 284   2]
53,266.8,3,[  2   5  56 284],[  5  56 284   2]
54,292.4,3,[  2   5  56 284],[  5  56 284   2]
55,250.4,3,[  2   5  56 284],[  5  56 284   2]
56,270.4,3,[  2   5  56 284],[  5  56 284   2]
57,257.6,3,[  2   5  56 284],[  5  56 284   2]
58,286.0,3,[  2   5  56 284],[  5  56 284   2]
59,264.4,3,[  2   5  56 284],[  5  56 284   2]
60,274.4,3,[  2   5  56 284],[  5  56 284   2]
61,258.8,3,[  2   5  56 284],[  5  56 284   2]
62,282.4,3,[  2   5  56 284],[  5  56 284   2]
63,291.2,3,[  2   5  56 284],[  5  56 284   2]
64,251.2,3,[  2   5  56 284],[  5  56 284   2]
65,273.2,3,[  2   5  56 284],[  5  56 284   2]
66,246.8,4,[ 2 44 63],[44 63  2]
67,284.4,3,[  2   5  56 284],[  5  56 284   2]
68,253.2,0,[  2 100 145],[100 145   2]
69,275.2,3,[  2   5  56 284],[  5  56 284   2]
70,264.4,3,[  2   5  56 284],[  5  56 284   2]
71,263.2,3,[  2   5  56 284],[  5  56 284   2]
72,260.0,3,[  2   5  56 284],[  5  56 284   2]
73,265.2,3,[  2   5  56 284],[  5  56 284   2]
74,278.4,3,[  2   5  56 284],[  5  56 284   2]
75,256.0,3,[  2   5  56 284],[  5  56 284   2]
76,277.2,3,[  2   5  56 284],[  5  56 284   2]
77,240.0,0,[  2 100 145],[100 145   2]
78,259.2,3,[  2   5  56 284],[  5  56 284   2]
79,230.8,4,[ 2 44 63],[44 63  2]
80,277.6,3,[  2   5  56 284],[  5  56 284   2]
81,266.0,3,[  2   5  56 284],[  5  56 284   2]
82,276.8,3,[  2   5  56 284],[  5  56 284   2]
83,282.8,3,[  2   5  56 284],[  5  56 284   2]
84,277.6,3,[  2   5  56 284],[  5  56 284   2]
85,279.2,3,[  2   5  56 284],[  5  56 284   2]
86,281.6,3,[  2   5  56 284],[  5  56 284   2]
87,258.8,3,[  2   5  56 284],[  5  56 284   2]
88,286.8,3,[  2   5  56 284],[  5  56 284   2]
89,263.2,3,[  2   5  56 284],[  5  56 284   2]
90,269.2,3,[  2   5  56 284],[  5  56 284   2]
91,268.8,3,[  2   5  56 284],[  5  56 284   2]
92,254.8,2,[ 2 38 73],[38 73  2]
93,250.8,3,[  2   5  56 284],[  5  56 284   2]
94,274.0,3,[  2   5  56 284],[  5  56 284   2]
95,281.2,3,[  2   5  56 284],[  5  56 284   2]
96,261.2,3,[  2   5  56 284],[  5  56 284   2]
97,255.2,3,[  2   5  56 284],[  5  56 284   2]
98,263.2,3,[  2   5  56 284],[  5  56 284   2]
99,264.8,3,[  2   5  56 284],[  5  56 284   2]
